This file introduces group of doctors with their details:
RyanKite and he has fees of 34 $ he is special in Lic Prof Counselor his working hours are: 8-14, he do his job in JOHNSON CITY\NGRAY
ThomasDavis and he has fees of 37 $ he is special in Internal Medicine his working hours are: 10-15, he do his job in STRAFFORD
StephanieFreeman and he has fees of 32 $ he is special in CCM,IM his working hours are: 8-14, he do his job in BALTIMORE\NFIRMS-COURTESY REPLY
KevinKrenek                              and he has fees of 61 $ he is special in Nurse Practitioner his working hours are: 8-15, he do his job in CHICAGO\NPILSEN
AnthonyMarshall and he has fees of 34 $ he is special in Specialist Anesthesiology his working hours are: 10-16, he do his job in ERIE
JuanGodinex and he has fees of 45 $ he is special in Radiation Oncology his working hours are: 8-16, he do his job in SAINT AUGUSTINE\NST AUGUSTINE
CaseyCochran and he has fees of 64 $ he is special in Family Practice his working hours are: 10-15, he do his job in EDMOND
JohnMcnutt and he has fees of 69 $ he is special in Anesthesiology his working hours are: 8-15, he do his job in NEWPORT BEACH
ElaineHathaway and he has fees of 40 $ he is special in Ophthalmology his working hours are: 8-14, he do his job in HIGHLAND PARK\NNEW BRUNSWICK
LisaCramer and he has fees of 41 $ he is special in Occupational Therapist his working hours are: 8-14, he do his job in CITYWIDE
Manoj                    Rawal                               and he has fees of 21 $ he is special in Cardiovascular Diseases;Internal Medicine;Interventional Cardiology;Nuclear Medicine his working hours are: 9-14, he do his job in PEORIA
StarletteMclean and he has fees of 59 $ he is special in Podiatry his working hours are: 8-16, he do his job in SELMA\NCONEJO
CatherineRoss and he has fees of 60 $ he is special in Registered Nurse his working hours are: 9-15, he do his job in OLNEY\NORCHARD HEIGHTS
SydneyAnderson and he has fees of 46 $ he is special in Physical Therapy his working hours are: 10-14, he do his job in BLUE SPRINGS
CharlesMarti and he has fees of 60 $ he is special in Hospital Based Physician (Emergency Room) his working hours are: 9-15, he do his job in LITTLE WASHINGTON\NPAVONIA\NMANSFIELD
JosephPolino and he has fees of 52 $ he is special in Radiology, Diagnostic his working hours are: 8-15, he do his job in AMHERST\NCUSHMAN\NPELHAM\NSOUTH AMHERST
BrentAllen and he has fees of 29 $ he is special in Emergency Medicine his working hours are: 10-15, he do his job in Modesto
RichardDavidson and he has fees of 42 $ he is special in Physical Therapy his working hours are: 9-15, he do his job in Pleasant Hill
OlgaKramer and he has fees of 53 $ he is special in Hospital Based Physician (Allied) his working hours are: 10-16, he do his job in STATESVILLE\NBRADFORDS CROSS ROADS\NCELESTE HINKLE\NCHARLES\NEAST MONBO\NELMWOOD\NEUFOLA\NLORAY\NLOV
RobertEilert and he has fees of 61 $ he is special in Specialist Orthopedic Surgery his working hours are: 8-15, he do his job in AURORA
DawnIngram and he has fees of 20 $ he is special in Physical Therapy his working hours are: 9-15, he do his job in BALTIMORE\NFIRMS-COURTESY REPLY
HilaryFrescoln and he has fees of 62 $ he is special in Family Practice his working hours are: 10-14, he do his job in SUMMERSVILLE
GurdeepChhabra and he has fees of 41 $ he is special in Hematology his working hours are: 10-14, he do his job in CALIFORNIA
GurdeepChhabra and he has fees of 56 $ he is special in Oncology his working hours are: 10-15, he do his job in CALIFORNIA
BhupinderWaraich and he has fees of 32 $ he is special in Psychiatry his working hours are: 10-14, he do his job in Fremont
SantiagoSantiago and he has fees of 67 $ he is special in Radiology his working hours are: 10-16, he do his job in JUPITER
MaryFinnegan and he has fees of 67 $ he is special in Hospital Based Physician (Emergency Room) his working hours are: 10-15, he do his job in WALNUT CREEK
RichardClinton and he has fees of 38 $ he is special in Radiology his working hours are: 8-15, he do his job in METTER\NEXCELSIOR
