This file introduces group of doctors with their details:
JohnMoore and he has fees of 25 $ he is special in Neonatology his working hours are: 9-14, he do his job in CLEVELAND
JohnMoore and he has fees of 67 $ he is special in General Practice his working hours are: 8-14, he do his job in CLEVELAND
WilliamNoble III and he has fees of 62 $ he is special in Radiology/Radiologist his working hours are: 8-15, he do his job in SPRINGFIELD
PhilipWitorsch and he has fees of 37 $ he is special in Specialist Pulmonology his working hours are: 8-15, he do his job in WASHINGTON
MichelleLittle and he has fees of 63 $ he is special in Nurse/Nurse Practitioner his working hours are: 10-14, he do his job in PEORIA
StaceyAnderson and he has fees of 39 $ he is special in Nurse Practitioner his working hours are: 9-16, he do his job in CARLISLE
GretchenBarone and he has fees of 54 $ he is special in XNP,ALH his working hours are: 10-16, he do his job in SAINT LOUIS
MaryMahoney and he has fees of 23 $ he is special in Naturopathy his working hours are: 9-16, he do his job in CLIFTON\NCORRYVILLE\NMT AUBURN\NCINCINNATI
DavidDouglas and he has fees of 27 $ he is special in Non Physician - Physician Assistant his working hours are: 10-15, he do his job in SPRINGFIELD
RoccoChiappini and he has fees of 56 $ he is special in Physical Medicine & Rehab his working hours are: 8-14, he do his job in Valhalla
ImranSharief and he has fees of 36 $ he is special in Hospital Based Physician (Other) his working hours are: 8-16, he do his job in DEL ROSA\NSAN BERNARDINO
RebeccaCutchin and he has fees of 55 $ he is special in Adult Health his working hours are: 10-14, he do his job in COLBURN\NLA FAYETTE\NLAFAYETTE
FarleyHom and he has fees of 59 $ he is special in OCT,ACU,CH his working hours are: 9-14, he do his job in LOS ANGELES\NRANCHO PARK
CandaceHobson and he has fees of 47 $ he is special in Otolaryngology his working hours are: 10-16, he do his job in LOS ANGELES\NAUGUST F. HAW
GuyBorders and he has fees of 63 $ he is special in Diagnostic Radiology his working hours are: 9-14, he do his job in TUCSON
GuyBorders and he has fees of 62 $ he is special in Neuroradiology his working hours are: 9-16, he do his job in TUCSON
